"humidity","temperature","__dt"
"52.93016434","24.31583405","2024-03-07 00:00:00.000"
"52.86159515","24.34597015","2024-03-07 00:00:00.000"
"52.7765274","24.32670593","2024-03-07 00:00:00.000"
"52.67934799","24.3303299","2024-03-07 00:00:00.000"
"52.5967598","24.3303299","2024-03-07 00:00:00.000"
"52.56671906","24.30744171","2024-03-07 00:00:00.000"
"52.60515213","24.32250977","2024-03-07 00:00:00.000"
"52.67734528","24.33223724","2024-03-07 00:00:00.000"
"52.79150009","24.31297302","2024-03-07 00:00:00.000"
"52.82745361","24.31755066","2024-03-07 00:00:00.000"
"52.87694931","24.31430817","2024-03-07 00:00:00.000"
"52.88934708","24.33452606","2024-03-07 00:00:00.000"
"52.90088654","24.32250977","2024-03-07 00:00:00.000"
"52.86216736","24.32174683","2024-03-07 00:00:00.000"
"52.79598236","24.32022095","2024-03-07 00:00:00.000"
"52.81686783","24.34902191","2024-03-07 00:00:00.000"
"52.92129517","24.33853149","2024-03-07 00:00:00.000"
"52.89812088","24.33204651","2024-03-07 00:00:00.000"
"52.86779404","24.34310913","2024-03-07 00:00:00.000"
"52.84662247","24.33071136","2024-03-07 00:00:00.000"
"52.83708572","24.32861328","2024-03-07 00:00:00.000"
"52.77748108","24.3309021","2024-03-07 00:00:00.000"
"52.82115936","24.34215546","2024-03-07 00:00:00.000"
"52.83765793","24.31335449","2024-03-07 00:00:00.000"
"52.82783508","24.32174683","2024-03-07 00:00:00.000"
"52.81553268","24.32937622","2024-03-07 00:00:00.000"
"50.21867752","24.25003052","2024-03-07 00:00:00.000"
"50.20999908","24.23419952","2024-03-07 00:00:00.000"
"50.21190643","24.22161102","2024-03-07 00:00:00.000"
"50.24375916","24.23820496","2024-03-07 00:00:00.000"
"50.24785995","24.22943115","2024-03-07 00:00:00.000"
"50.28409958","24.23229218","2024-03-07 00:00:00.000"
"50.35009384","24.22389984","2024-03-07 00:00:00.000"
"50.40712357","24.23686981","2024-03-07 00:00:00.000"
"50.41599274","24.21512604","2024-03-07 00:00:00.000"
"50.43382645","24.23038483","2024-03-07 00:00:00.000"
"50.4655838","24.23686981","2024-03-07 00:00:00.000"
"50.45776367","24.22027588","2024-03-07 00:00:00.000"
"50.48475266","24.22008514","2024-03-07 00:00:00.000"
"50.48427582","24.23095703","2024-03-07 00:00:00.000"
"50.51326752","24.22504425","2024-03-07 00:00:00.000"
"50.49314499","24.21836853","2024-03-07 00:00:00.000"
"50.52623749","24.21970367","2024-03-07 00:00:00.000"
"50.51078796","24.22904968","2024-03-07 00:00:00.000"
"50.5771637","24.22523499","2024-03-07 00:00:00.000"
"50.51956177","24.22428131","2024-03-07 00:00:00.000"
"50.51841736","24.22275543","2024-03-07 00:00:00.000"
"50.49200058","24.23877716","2024-03-07 00:00:00.000"
"50.4989624","24.23534393","2024-03-07 00:00:00.000"
